pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
9jaiu9__39p86l,9jaiu9,39p86l,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
1r22cq__79mrgt,1r22cq,79mrgt,True,,4,1,0,1.0,0.0,1.0,0.0,1.583
8xzrti__3pi5xz,8xzrti,3pi5xz,True,,7,1,0,1.0,0.0,1.0,0.0,1.583
34z39e__3clape,34z39e,3clape,True,,3,2,0,1.0,0.0,1.0,0.0,1.583
28g4qc__5fqe8c,28g4qc,5fqe8c,True,,3,7,1,0.8,0.19999999999999996,0.33248503506183624,0.6675149649381638,2.2468122257557512
3cvaqz__9xx3b6,3cvaqz,9xx3b6,True,,1,4,0,1.0,0.0,1.0,0.0,1.583
3ltd8v__9dhhb6,3ltd8v,9dhhb6,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
1z29b1__3hx1wg,1z29b1,3hx1wg,True,,1,3,1,0.5,0.5,0.15848606824874878,0.8415139317512512,2.4699398608624934
3pu2aq__274ioe,3pu2aq,274ioe,True,,1,3,0,1.0,0.0,1.0,0.0,1.583
2ypc3j__52rthk,2ypc3j,52rthk,True,,3,6,0,1.0,0.0,1.0,0.0,1.583
1owz1v__9j7m7t,1owz1v,9j7m7t,True,,2,3,0,1.0,0.0,1.0,0.0,1.583
1g3wlu__6m2npm,1g3wlu,6m2npm,True,,2,5,1,0.3076923076923077,0.6923076923076923,0.3954181969165802,0.6045818030834198,2.2875343305149904
3extm3__5bipzh,3extm3,5bipzh,True,,3,11,2,0.3142857142857143,0.6857142857142857,0.3408434641148363,0.6591565358851637,2.337169146006011
9qutv2__6q3m5w,9qutv2,6q3m5w,True,,10,4,1,0.8571428571428571,0.1428571428571429,0.23226508498191833,0.7677349150180817,2.328859065706815
3n1few__6q1lm3,3n1few,6q1lm3,True,,4,3,0,1.0,0.0,1.0,0.0,1.583
5r9xk4__2xggse,5r9xk4,2xggse,True,,4,3,0,1.0,0.0,1.0,0.0,1.583
1mosgg__216tgv,1mosgg,216tgv,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
2ff1of__5zlr3h,2ff1of,5zlr3h,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
3w3sgm__z5rs4,3w3sgm,z5rs4,True,,6,7,3,0.3684210526315789,0.631578947368421,0.36744197085499763,0.6325580291450024,2.3013880486816753
8utfze__3w1et7,8utfze,3w1et7,True,,4,7,0,1.0,0.0,1.0,0.0,1.583
